리뷰 내용,상품 URL
다 그렇겠지만 조금 잘 구겨지는거 빼곤 좋습니다,https://www.musinsa.com/review/goods/2086653
목아지 안 늘어나고 짱짱함 좋아서 하나 더 샀습니다,https://www.musinsa.com/review/goods/2086653
옷이 잘늘어져서 그냥 잠옷으로 입고있어요 ㅠㅋ 슬픔,https://www.musinsa.com/review/goods/2086653
"기장 줄어들까봐 세탁망 넣어서 세탁기 돌렸고 
무조건 냉수세탁에 탈수제일 약하게, 건조기x 
건조대에 뉘어서 자연건조함
심지어 세탁도 두번인가 세번밖에 안 했는데
78기장이 73되버렸네요
줄어들거 생각해서 더 긴거 사야될듯..",https://www.musinsa.com/review/goods/2086653
구김이 꽤 있었지만 그래도 맨날 입고 있습니다요,https://www.musinsa.com/review/goods/2086653
"길이는 괜찮은데 품이 조금 커서 위에 맨투맨이나 후디 입으면 티가 살짝 구겨지는 감이 있어요 ㅜㅜ 그래도 옆트임이 있어서 구겨진 거 어느 정도 정리는 가능해서 괜찮네요 👍
사진은 순서대로 
1. 시보리 다 접은 거
2. 앞부분 시보리만 살짝 접은 거
3. 시보리 내려 입은 거
입니다.
시보리 다 접으니 확실히 좀 긴 감이 있어서 개인적으론 앞부분만 조금 접어 입는 게 제일 낫네요 🙂",https://www.musinsa.com/review/goods/2086653
"오버사이즈에 기장이 깁니다
소재도 탄탄한 거 같아요!",https://www.musinsa.com/review/goods/2086653
"183키준 M사이즈는 살짝 짧습니다. 크롭한 상의에 레이어드 하실꺼면 M사이즈, 상의가 살짝 크면 L사이즈 추천드립니다.",https://www.musinsa.com/review/goods/2086653
길이가 살짝 길게 나왔어요 건조기에서 줄어들었으면,https://www.musinsa.com/review/goods/2086653
"- 배송이 빠름
- 쿠폰으로 사서 할인가능
- 내가 원하는 기장 

무탠다드 제품은 항상 기본값은 하는데 쿠폰을 먹일수가 있어서 좋아요",https://www.musinsa.com/review/goods/2086653
길이나 사이즈 제가 원하던데로 맞아서 만족하면서 입고 있습니다!,https://www.musinsa.com/review/goods/2086653
아무 티셔츠나 레이어드해서 입으면 스타일 내기 쉬워요,https://www.musinsa.com/review/goods/2086653
레이어드용으로도 좋고 그냥 입기도 너무 좋습니다. 얇지 않아서 너무 좋아요! 세번째 구매입니다,https://www.musinsa.com/review/goods/2086653
거의 매일 입다시피 하는데 매우 좋은 것 같습니다,https://www.musinsa.com/review/goods/2086653
기장 길까봐 걱정했는데 레이어드하기 적당하고 재질이 빳빳해서 좋네요,https://www.musinsa.com/review/goods/2086653
길이는 생각보다 길더라구요 굳이 긴버전으로 안사도 될거같아요 스펙 같으시면 m추천이요 후드랑 입기 기장 딱이에요,https://www.musinsa.com/review/goods/2086653
"길이가 길어서 이너로 좋네유.
뚱뚱한테 더뚱뚱해보임",https://www.musinsa.com/review/goods/2086653
이너용으로 아주 좋습니다 재질도 괜찮고 밑단 트임때문에 심심하지도 않아 좋아요 160 50 여성 기준 xs보다 s이 더 좋습니다,https://www.musinsa.com/review/goods/2086653
"후드티나 맨투맨 레이어드하기 딱 좋아요 집에서 반팔 하나 입고 싶을 때도 입고 완전 휘뚜루마뚜루 

기장은 정말정말 고민했는데 저 레이어드 한 사진 후드티 기장이 67.5인데 밑시보리 접어서 레이어드하면 딱 맞습니다 64? 정도 되는 옷들은 시보리 안 접어서 레이어드하면 딱 맞아요 전 완전 만족합니다🫶🏻 사이즈 참고하세요❗️",https://www.musinsa.com/review/goods/2086653
라지 엑스라지 고민하다가 레이어드용으로 샀는데 길이가 딱 좋습니다. 엑스라지 샀으면 조금 길었을거 같습니다.,https://www.musinsa.com/review/goods/2086653
178 76~78키로 105사이즈 딱좋고요 길이는 생각보단 길지만 생각보다 질이 괜찮아요 무조건 레이어드만하려고했는데 그냥 넣입으로 원탑으로 입어도될거같아요,https://www.musinsa.com/review/goods/2086653
"딱 입었는데 길이 죽입니다..
길이감 진짜 딱 좋아서 레이어드 용으로 더할나위 없습니다!",https://www.musinsa.com/review/goods/2086653
"부담스럽지않은 기장의 레이어드티임
아무데나 안에넣으면 좋음",https://www.musinsa.com/review/goods/2086653
길이가 적당해서 제 신체스펙과 비슷하다면 아주 잘 맞을 것 같습니다!,https://www.musinsa.com/review/goods/2086653
