item_id,review
3481219,#발마칸코트 요즘 누구나 하나씩은 있다는 발마칸 코트~
4394773,#브라운브레스후드 #밀로볼캡 #라퍼지스토어
3771089,#아디다스
3754858,#아디다스 #스페지알
3754858,#아디다스 #스페지알 #앤더슨벨 #페넥
3682262,"#아디다스 #토바코 #가을코디 #스웨이드 
가을 겨울에 여기저기 편하게 매치하기 좋은 신발이에요.
무채색이지만 소재감 때매 하나로 포인트 되기도 합니다."
3754858,"#아디다스스페지알

가을겨울에 착용하기 너무 좋아요
스웨이드는 양말 물 드는거 어느정도
감안하고 구매한거라 전용 흰양말 한두개
따로 두고 신으려구요!! 
발볼은 좁게나온 편이고 사이즈 걸쳐신는다면
무조건 반사이즈 다운 해야될거 같아요
신발 길이는 긴편~! 너무 예뻐요"
3754858,"#아디다스스페지알 #아디다스 스페지알 너무 가지고 싶었는데
무신사에서 구매 했어요! 사이즈는 크게 나와서 220신었어요.
더 작은 사이즈가 있으면 좋겠어요 신발 디자인 너무 예뻐서
어디에 신든 찰떡! 너무 예뻐요"
3588413,#아디다스져지 #아디다스베켄바우어
3682262,#아디다스토바코
3682262,"#아디다스토바코
가을과 어울리는 다크브라운 색상의 토바코입니다~ 여기저기 편하게 매칭할 수 있어서 잘 신고 있어요."
3588413,#아디다스트랙탑 #져지
4440029,"#아메스월드와이드 
@@웨 않사?"
4202776,#어그 #타즈
4226785,#에어포스 #신발 #나이키
3463298,#예일 후드티
3463298,#오버핏 #사이즈없음 #이쁨
4274049,#와이드팬츠 #졸업여행룩
4047739,#청바지 뭐든 잘어울리는 신발 !!
4201459,#푸마
1670498,#플리스 #지프플리스 #겨울아우터 #아이보리
991339,"? 두께 : 여름에 신어도 될 정도로 얇습니다.
? 내구성 : 튼튼하다고 느낍니다.
? 길이 : 딱 종아리 직전

단점으로는 먼지가 너무 잘 붙는다는 점?"
1778404,"? 후드 : 모양 잘 잡힘. 단단한 느낌 X
? 무게감 : 약간 무거운 정도. 
? 두께감 : 두껍지 않은 편. 레이어드 가능할 정도.
? 시보리 : 손목 부분 단단함. 손목 아래로 안 내려감.
? 기장 : 170 아래이신 분들은 M 추천! 딱 적당함."
2086653,"?계절: 언제든 입어도 좋습니다. 레이어드 안 하고 하나만 입어도 충분히 예뻐요.
?재질: 약간 빳빳한데, 부드러워요. 비치지 않습니다.
?스타일: 어떤 옷이든 레이어드하면 정말 예쁘고, 저는 넉넉하게 입는 것을 좋아하는데, 그럼에도 충분히 레이어드요서 좋습니다.
?팁: 겉옷이 레이어드티보다 손가락 한 마디에서 두 마디쯤 짧은 게 제일 레이어드티의 매력을 살려주는 것 같아요."
2116367,+5업 했습니다. 완전 저스트네요 이쁘고 따듯합니다.
1778404,#NAME?
1168922,"< 무신사 스탠다드 리얼 와이드 히든 밴딩 슬랙스 >

적당한 와이드에 질린 사람들에게 추천해주는 와이드팬츠.

토피나 여럿 다른 와이드 슬랙스의 와이드함에 만족 못하는 사람들에게 추천드립니다. 입문용은 리얼와이드 말고 와이드 슬랙스로.

사이징은
허벅지걱정X
허리 정사이니
허리나 기장에 맞춰서 가시면 될듯.

본인은 평소 입던 28 정사 갔는데 허리가 조금 널널해서
한사이즈 다운해도 상관 없었을 듯."
1149329,"★사이즈 팁★
사이즈 표에 적힌 허리cm 보고 사지 마세요! (적힌 거보다 작게 나오구요. 밴딩도 생각보다 강해서 엄청 조입니다.밴딩 늘어남 사이즈로 적은듯 )
그냥 자기 허리 인치, 정사이즈로 시키시면 됩니다. 그럼 타이트하게 딱 맞으실 겁니다. 편하게 입으시려면 1업 사이즈 하셔도 됩니다. (전 사이즈 1업 했어요)

29사이즈 허리 길이 cm 참고하세요."
1844582,♀?아들이 멜란지 와이드 트레이닝 팬츠를 입고 싶다고 해서 주문했는데 색깔은 화면하고 같고 가볍고 좋은데 아들이 마른 체형이라 그런지 핏이 많이 안이쁘네요ㅡㅡ그래도 편하고 재질이 좋아서 자주입고 나가네요~~
1163169,"??220사이즈인데 조금은 크네요^^

가족 커플신발로 맞췄어요!! 많이 올랐네요 ㅠㅠ
가격대가 있어 살까말까 하다가 너무 예뻐서 구매고고
아기가 잘 걷기 시작해서 좀더 크면 신길려고 아기거 사면서 엄마아빠거는 무신사에서 샀는데 마음에 들어요!"
2092852,"??겨울에도 충분히 입을 수 있는 바지이고, 제 키에 s사이즈 기장감 딱 맞게 떨어집니다!
??데님자켓이랑 코디해도 좋고 저는 무채계열로 코디하는게 이쁘게 느껴졌습니자."
4128817,"??편하게 메고 다닐 가방이 필요해서 손품을 엄청 많이 팔았는데 그중에서 이 가방이 제일 예쁘고 흔하지 않아서 이 가방으로 골랐어요! 
??책 한 권 정도는 가볍게 들어가고 작은 가방치고 수납공간도 넉넉한 편이에요! 
??가방 자체도 가벼워서 편하게 메고 다니고 있어요! 여름 내내 잘 메고 다닐 것 같네요
??사이즈는 너무 작지도 않고 딱 적당해서 예쁘고 좋아요!
??조이고 푸는 게 약간 귀찮긴 한데 예뻐서 용서되는 정도예요!"
728000,"?????????? (5/5)
이너부터 레이어드까지!

무신사이 최고의 장점은 사진에서 보는 모델의 사이즈와 내 실측의 차이가 크지 않다는 거 같아요!

가디건과 매치해도 너무 좋고, 아우터 없이 단독으로만 입이도 핏 자체가 무난해서 정말 코디하기 좋습니다!"
3422706,"?????????? 5/5
생각보다 더 마음에 들었어요 
두께가 얇지도 두껍지도 않고 딱 적당해요
허리를 잘 잡아줘서 핏되게 예쁩니다
마른 편인데 S사이즈 딱 맞게 좋았어요"
1567317,???? 너무 따듯하고 데일리템으로 좋은것같아요!!!추천
2108160,"??베이지
색감 예뻐요
??사이즈 L
통통한 체격, 작년부터 입던 짧은 모 후리스95사이즈는 낙낙한데 박시한 감이 없어서 외투로 입기에는 좀 불편했어요
여유있게 널널한 편. 팔뚤살이 표현되지 않아서 잘 산듯해요!
??세탁시에도 변형없어요
받고나서 세탁, 건조기 돌렸는데 괜찮았어요
??두께감
보통의 두께감, 두껍지는 않은데 겨울에 여러겹입기 때문에 이정도 두께감이면 저는 괜찮은것 같아요"
3771089,??
2700048,"?? : 눈 깜빡하니까 도착했어요 ㅋㅋ 하루정도 걸렸어요

?? : 택배상자 열어보니 비닐로 덮어져왔어요 옷걸이도 왔음 ! 무난무난ㄴ

?? : 기장이 길어서 더 좋아요 정강이 반정도 ?? 이 퀄리티에 이 가격이면 당장 사 !! 디자인 데일리하게 입ㄱ 좋아요 이쁨

?? : 무거워요 엄청까지는 아니지만 손으로 들었을때 무겁다고 생각이 들고 입으면 잘 모르겠러요"
2737014,"003 시리즈 m 밖에 없어서 구매하고 너무 커서 반품했었는데, 004는 s 사이즈가 있어서 샀습니다.
결과는 너무 만족하고 잘 입겠습니다!"
1222184,1-2cm 기장만 조금 줄이면 좋을듯싶네요 다리가 짧아서그런건지 ㅠ
3529214,"1-3월 즐겨입었음
더위를 많이 타서 아들이 후드나 반팔티 입고
이거 걸치고 겨울 났네요
꽃샘추위나 일교차 클때 굿굿"
3495320,"1. 가격이 합리적인가? ??????????
2. 두께감: 늦가을~ 초봄 가능할 두께
3. 보풀 발생여부: 겨드랑이 팔 안쪽 생길 듯
4. 신축성: 보통
5. 세탁후 변형여부: 없음
6. 배송: ??????????

7. 장점: 색감 촉감 너무 좋습니다. 부드러워요 사이즈도 세미오버
8. 아쉬운 점: 수아레 다른 니트 보풀이 좀 생겼는데 조심해서 입어야 할 것 같아요"
1551840,"1. 가다 좀 있으신 분들
2. 평소 와이드한 핏을 좋아하시고 즐겨 입으시는 분들
3. 저처럼 키는 작은데 총장 길이 걱정되시는 분들

L 입으셔도 충분히 입은 핏 나옵니다.
저도 M시켰다 허벅지와 총장까지는 맞는데 뭔가 핏이 애매하더라구요.
고민 반 걱정 반으로 L시키고 오늘 입어보니 정말 만족스럽네요. 정말 편하구요, 자주 입을듯 싶네요.

저같은 사이즈 애매하신 분들 참고하세요."
728000,"1. 가성비 최고의 기본 옥스포드 셔츠 입니다.

2. 재봉. 마감. 전체적인 퀄리티. 가격 생각하면 훌륭합니다.

3. 천이 두껍지 않아. 가을겨울 니트 이너로 입기 좋습니다.

4. 당연히 단품으로 입어도 좋구요.

5. 3벌째 구입 중입니다."
